date,description,amount
2024-01-02,Whole Foods Market,-67.43
2024-01-03,Shell Gas Station,-42.00
2024-01-05,Netflix Subscription,-15.99
2024-01-07,Austin Energy Electric Bill,-89.50
2024-01-08,HEB Grocery Store,-54.21
2024-01-10,Chevron Gas Station,-38.75
2024-01-12,Amazon Purchase,-29.99
2024-01-14,Starbucks Coffee,-5.47
2024-01-15,ATT Wireless Bill,-75.00
2024-01-17,Target,-43.82
2024-01-19,Chipotle,-12.50
2024-01-20,Shell Gas Station,-45.30
2024-01-22,HEB Grocery Store,-78.90
2024-01-24,Steam Game Purchase,-19.99
2024-01-25,Spotify Premium,-10.99
2024-01-27,Exxon Gas Station,-41.25
2024-01-28,Randalls Grocery,-62.15
2024-01-30,Water Utility Payment,-32.40
2024-02-01,Planet Fitness Membership,-24.99
2024-02-03,Torchys Tacos,-18.75
2024-02-05,Walgreens Pharmacy,-23.45
2024-02-07,Shell Gas Station,-39.80
2024-02-09,HEB Grocery Store,-91.33
2024-02-11,HBO Max Subscription,-16.99
2024-02-13,CVS Pharmacy,-15.67
